Date,Price,Open,High,Low,Vol.,Change %
"Mar 19, 2014","14,462.52","14,495.73","14,663.54","14,302.37",153.57K,0.36
"Mar 18, 2014","14,411.27","14,491.41","14,533.25","14,399.72",114.03K,0.94
"Mar 17, 2014","14,277.67","14,254.32","14,359.16","14,203.21",138.03K,-0.35
"Mar 14, 2014","14,327.66","14,526.28","14,539.6","14,280.75",236.13K,-3.3
"Mar 13, 2014","14,815.98","14,847.72","14,919.84","14,790.48",116.17K,-0.1
"Mar 12, 2014","14,830.39","15,003.8","15,020.14","14,828.18",141.31K,-2.59
"Mar 11, 2014","15,224.11","15,179.47","15,256.03","15,124.36",119.06K,0.69
"Mar 10, 2014","15,120.14","15,197.53","15,266.12","15,088.11",121.10K,-1.01
"Mar 07, 2014","15,274.07","15,280.76","15,312.6","15,145.59",138.46K,0.92
"Mar 06, 2014","15,134.75","14,933.76","15,203.12","14,871.56",149.98K,1.59
"Mar 05, 2014","14,897.63","14,905.95","14,992.19","14,897.63",134.01K,1.2
"Mar 04, 2014","14,721.48","14,553.95","14,750.09","14,546.34",125.64K,0.47
"Mar 03, 2014","14,652.23","14,666.93","14,684.7","14,443.1",146.87K,-1.27
"Feb 28, 2014","14,841.07","14,929.55","14,943.65","14,735.52",160.53K,-0.55
"Feb 27, 2014","14,923.11","14,939.87","15,015.01","14,844.37",160.35K,-0.32
"Feb 26, 2014","14,970.97","14,896.49","15,084.53","14,896.49",126.64K,-0.54
"Feb 25, 2014","15,051.6","15,002.51","15,094.54","14,957.49",139.51K,1.44
"Feb 24, 2014","14,837.68","14,803.64","14,982.53","14,658.14",159.46K,-0.19
"Feb 21, 2014","14,865.67","14,618.61","14,888.81","14,618.61",138.69K,2.88
"Feb 20, 2014","14,449.18","14,701.14","14,731.48","14,428.73",172.05K,-2.15
"Feb 19, 2014","14,766.53","14,729.48","14,805.66","14,679.19",153.87K,-0.52
"Feb 18, 2014","14,843.24","14,514.47","14,900.24","14,469.49",206.51K,3.13
"Feb 17, 2014","14,393.11","14,343.73","14,427.95","14,214.6",149.04K,0.56
"Feb 14, 2014","14,313.03","14,538.2","14,678.71","14,243.17",204.17K,-1.53
"Feb 13, 2014","14,534.74","14,785.84","14,787.62","14,488.32",148.36K,-1.79
"Feb 12, 2014","14,800.06","14,821.73","14,874.79","14,769.04",165.06K,0.56
"Feb 10, 2014","14,718.34","14,647.83","14,725.92","14,568.3",149.77K,1.77
"Feb 07, 2014","14,462.41","14,387.11","14,471.95","14,356.59",186.13K,2.17
"Feb 06, 2014","14,155.12","14,233.42","14,308.07","14,155.12",192.93K,-0.18
"Feb 05, 2014","14,180.38","14,213.1","14,245.06","13,995.86",280.22K,1.23
"Feb 04, 2014","14,008.47","14,353.33","14,355.92","14,008.47",294.25K,-4.18
"Feb 03, 2014","14,619.13","14,788.56","14,846.93","14,615.05",202.85K,-1.98
"Jan 31, 2014","14,914.53","15,132.23","15,143.88","14,764.57",217.44K,-0.62
"Jan 30, 2014","15,007.06","15,112.7","15,112.7","14,853.83",221.22K,-2.45
"Jan 29, 2014","15,383.91","15,164.34","15,383.91","15,159.92",164.80K,2.7
"Jan 28, 2014","14,980.16","15,038.64","15,088.12","14,952.83",183.07K,-0.17
"Jan 27, 2014","15,005.73","15,091.45","15,109.68","14,933.55",223.88K,-2.51
"Jan 24, 2014","15,391.56","15,473.57","15,485.02","15,288.32",221.01K,-1.94
"Jan 23, 2014","15,695.89","15,900.63","15,958.58","15,690.45",206.89K,-0.79
