Date,Price,Open,High,Low,Vol.,Change %
"Aug 07, 2012","5,336.7","5,295.4","5,350.1","5,281.65",130.43M,1.03
"Aug 06, 2012","5,282.55","5,260.85","5,293.2","5,260.85",103.15M,1.28
"Aug 03, 2012","5,215.7","5,195.6","5,220.2","5,164.65",112.92M,-0.23
"Aug 02, 2012","5,227.75","5,233.1","5,236.9","5,209.95",92.97M,-0.24
"Aug 01, 2012","5,240.5","5,220.7","5,246.35","5,212.65",113.82M,0.22
"Jul 31, 2012","5,229","5,214.85","5,234.55","5,154.05",147.06M,0.56
"Jul 30, 2012","5,199.8","5,129.75","5,206.6","5,129.75",117.52M,1.96
"Jul 27, 2012","5,099.85","5,124.3","5,149.95","5,077.5",131.95M,1.13
"Jul 26, 2012","5,043","5,126.3","5,126.3","5,032.4",180.13M,-1.3
"Jul 25, 2012","5,109.6","5,118.4","5,121.6","5,076.6",130.97M,-0.36
"Jul 24, 2012","5,128.2","5,128.8","5,144","5,103.25",116.52M,0.2
"Jul 23, 2012","5,117.95","5,163.25","5,164.2","5,108.1",104.77M,-1.67
"Jul 20, 2012","5,205.1","5,233.55","5,238.7","5,197.5",89.73M,-0.72
"Jul 19, 2012","5,242.7","5,249.85","5,257.75","5,233.15",109.77M,0.51
"Jul 18, 2012","5,216.3","5,199.1","5,222.85","5,169.05",109.65M,0.45
"Jul 17, 2012","5,192.85","5,228.05","5,236.7","5,181.7",111.77M,-0.08
"Jul 16, 2012","5,197.25","5,232.35","5,246.85","5,190.45",106.31M,-0.57
"Jul 13, 2012","5,227.25","5,242.75","5,267.15","5,216.85",99.05M,-0.15
"Jul 12, 2012","5,235.25","5,240","5,261.75","5,217.7",131.19M,-1.34
"Jul 11, 2012","5,306.3","5,315.25","5,336.45","5,300.25",113.53M,-0.73
"Jul 10, 2012","5,345.35","5,286.6","5,348.55","5,284.55",123.95M,1.33
"Jul 09, 2012","5,275.15","5,283.7","5,300.6","5,257.75",101.17M,-0.79
"Jul 06, 2012","5,316.95","5,324.7","5,327.2","5,287.75",113.30M,-0.19
"Jul 05, 2012","5,327.3","5,297.05","5,333.65","5,288.85",118.92M,0.47
"Jul 04, 2012","5,302.55","5,310.4","5,317.65","5,273.3",156.00M,0.28
"Jul 03, 2012","5,287.95","5,298.85","5,317","5,265.95",133.12M,0.18
"Jul 02, 2012","5,278.6","5,283.85","5,302.15","5,263.35",126.16M,-0.01
"Jun 29, 2012","5,278.9","5,191.25","5,286.25","5,189",226.52M,2.52
"Jun 28, 2012","5,149.15","5,148.95","5,159.05","5,125.3",143.07M,0.14
"Jun 27, 2012","5,141.9","5,149.45","5,160.1","5,129.25",112.27M,0.41
"Jun 26, 2012","5,120.8","5,107.45","5,134.55","5,095.5",99.41M,0.12
"Jun 25, 2012","5,114.65","5,158.5","5,194.6","5,105.65",123.50M,-0.61
"Jun 22, 2012","5,146.05","5,101.75","5,159.8","5,094",159.75M,-0.37
"Jun 21, 2012","5,165","5,097.35","5,170.4","5,093.45",142.99M,0.87
"Jun 20, 2012","5,120.55","5,114.55","5,141.7","5,100.7",160.51M,0.33
