Date,Close,Open,High,Low,Vol.,Change %
2000-02-21,"1,753.5","1,719.55","1,767.8","1,719.55",26.02M,2.08%
2000-02-22,"1,739.05","1,754.2","1,781.05","1,733.55",33.43M,-0.82%
2000-02-23,"1,696.4","1,745.2","1,818.15","1,689.2",27.91M,-2.45%
2000-02-24,"1,732","1,696.4","1,751.6","1,693.1",23.49M,2.10%
2000-02-25,"1,710.45","1,734.05","1,757.05","1,699.25",19.46M,-1.24%
2000-02-28,"1,722.55","1,711.15","1,726.65","1,670.75",27.27M,0.71%
2000-02-29,"1,654.8","1,722.85","1,783.3","1,626.35",49.50M,-3.93%
2000-03-01,"1,712.7","1,661.5","1,727.9","1,630",37.59M,3.50%
2000-03-02,"1,696.55","1,713.65","1,773.85","1,690.05",42.28M,-0.94%
2000-03-03,"1,656","1,696.45","1,719.15","1,644.4",29.50M,-2.39%
2000-03-06,"1,688.5","1,656","1,721","1,656",32.43M,1.96%
2000-03-07,"1,702.75","1,711.85","1,730.85","1,684.9",36.86M,0.84%
2000-03-08,"1,666.35","1,717.75","1,765.25","1,654.45",30.25M,-2.14%
2000-03-09,"1,646.25","1,667.45","1,692.25","1,595.45",27.74M,-1.21%
2000-03-10,"1,602.75","1,647.85","1,680.45","1,588.2",23.71M,-2.64%
2000-03-13,"1,560.7","1,601.4","1,645","1,553.45",32.03M,-2.62%
2000-03-14,"1,567.05","1,561.55","1,571.3","1,503.2",37.97M,0.41%
2000-03-15,"1,620.1","1,546.8","1,630.95","1,538.7",28.90M,3.39%
2000-03-16,"1,562.2","1,620.4","1,621.2","1,554.3",33.98M,-3.57%
2000-03-21,"1,556.6","1,563.3","1,585.25","1,542.65",30.77M,-0.36%
2000-03-22,"1,589.6","1,551.05","1,604","1,551.05",26.94M,2.12%
2000-03-23,"1,553.4","1,590.3","1,629.2","1,544.5",21.31M,-2.28%
2000-03-24,"1,569.55","1,554.2","1,579.4","1,540.45",15.41M,1.04%
2000-03-27,"1,562.95","1,570.45","1,593.3","1,555.75",19.05M,-0.42%
2000-03-28,"1,568.6","1,563.3","1,575.85","1,527.55",28.17M,0.36%
2000-03-29,"1,558.25","1,569.3","1,609.4","1,553.4",32.29M,-0.66%
2000-03-30,"1,549.5","1,556.95","1,557.85","1,489.1",38.87M,-0.56%
2000-03-31,"1,528.45","1,545.55","1,545.55","1,493.9",49.68M,-1.36%
2000-04-03,"1,534.75","1,528.7","1,555.5","1,510.75",50.91M,0.41%
2000-04-04,"1,428.1","1,534.05","1,534.05","1,420.85",42.18M,-6.95%
2000-04-05,"1,434.65","1,428.5","1,467.4","1,391.65",49.40M,0.46%
2000-04-06,"1,452.95","1,436.15","1,475.25","1,381.05",40.87M,1.28%
2000-04-07,"1,557.15","1,453.3","1,558.05","1,453.3",49.47M,7.17%
2000-04-10,"1,613","1,557.55","1,636.95","1,557.55",67.96M,3.59%
2000-04-11,"1,624.65","1,613","1,631.6","1,550.85",34.97M,0.72%
2000-04-12,"1,592.7","1,624.4","1,628.55","1,586",35.32M,-1.97%
2000-04-13,"1,518.65","1,587.95","1,587.95","1,502.7",20.99M,-4.65%
2000-04-17,"1,443.55","1,518.55","1,518.55","1,412.45",47.79M,-4.95%
2000-04-18,"1,414.8","1,443.55","1,478.85","1,410",30.06M,-1.99%
2000-04-19,"1,404.95","1,417.75","1,469.05","1,375.05",38.87M,-0.70%
2000-04-20,"1,415.65","1,405.7","1,425.55","1,339.75",43.87M,0.76%
2000-04-24,"1,388","1,416.05","1,431.8","1,371.85",34.27M,-1.95%
2000-04-25,"1,359.45","1,383.8","1,383.8","1,311.3",40.51M,-2.06%
2000-04-26,"1,436.1","1,362.5","1,439.05","1,362.5",45.03M,5.64%
2000-04-27,"1,416.9","1,436.15","1,455.85","1,400.65",51.77M,-1.34%
2000-04-28,"1,406.55","1,419.9","1,438","1,396.55",27.46M,-0.73%
2000-05-02,"1,333.45","1,410","1,421.5","1,319.65",39.38M,-5.20%
2000-05-03,"1,316.05","1,330.15","1,342.15","1,258.1",34.71M,-1.30%
2000-05-04,"1,380.55","1,317.95","1,385.15","1,317.95",29.96M,4.90%
2000-05-05,"1,422.4","1,381.9","1,428.6","1,381.9",35.56M,3.03%
2000-05-08,"1,365.05","1,423.25","1,436.6","1,358.8",23.97M,-4.03%
2000-05-09,"1,378.55","1,362.45","1,385.7","1,328.05",24.90M,0.99%
2000-05-10,"1,363.15","1,380.4","1,391.35","1,359.65",22.18M,-1.12%
2000-05-11,"1,304.55","1,359.1","1,359.1","1,295.95",23.83M,-4.30%
2000-05-12,"1,282.8","1,305.3","1,326.3","1,276.4",23.38M,-1.67%
2000-05-15,"1,299.25","1,281.3","1,311.7","1,220.7",21.76M,1.28%
2000-05-16,"1,306.85","1,300.2","1,310.45","1,287.8",17.41M,0.58%
2000-05-17,"1,311.65","1,310.8","1,347.7","1,303.75",25.38M,0.37%
2000-05-18,"1,293.4","1,311.3","1,316.2","1,289.55",23.24M,-1.39%
2000-05-19,"1,268","1,293.45","1,293.45","1,252.7",27.40M,-1.96%
2000-05-22,"1,233","1,267.85","1,267.85","1,228.4",18.68M,-2.76%
2000-05-23,"1,224.4","1,229.25","1,230.9","1,203.2",21.79M,-0.70%
2000-05-24,"1,235.9","1,224.5","1,246.25","1,201.5",30.85M,0.94%
2000-05-25,"1,247.65","1,237","1,269.8","1,235.7",35.46M,0.95%
2000-05-26,"1,275.35","1,247.1","1,278.75","1,232.85",33.05M,2.22%
2000-05-29,"1,311.05","1,273.7","1,317.75","1,267.4",47.53M,2.80%
2000-05-30,"1,344.85","1,310.8","1,347.3","1,304.95",35.58M,2.58%
2000-05-31,"1,380.45","1,355.35","1,410.75","1,355.35",46.44M,2.65%
2000-06-01,"1,349","1,380.4","1,380.4","1,345.1",29.62M,-2.28%
2000-06-02,"1,389.25","1,350.15","1,395.35","1,350.15",40.14M,2.98%
2000-06-05,"1,404.6","1,390.95","1,461.05","1,390.95",46.68M,1.10%
2000-06-06,"1,421.75","1,405.45","1,426.15","1,392.7",28.12M,1.22%
2000-06-07,"1,430.35","1,423.4","1,442.7","1,413.8",32.12M,0.60%
2000-06-08,"1,463.65","1,430.5","1,468.7","1,430.5",39.57M,2.33%
2000-06-09,"1,467.2","1,464.3","1,485.5","1,458.9",55.39M,0.24%
2000-06-12,"1,440.4","1,464.4","1,477.55","1,437.15",28.47M,-1.83%
2000-06-13,"1,432.9","1,438.8","1,438.8","1,411.9",37.25M,-0.52%
2000-06-14,"1,435.5","1,434.95","1,459.15","1,423.95",37.37M,0.18%
